"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\resources\views\components\dropdown.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\programming\uniProject\uniProject\resources\views\components\input-error.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\programming\uniProject\uniProject\resources\views\components\input-label.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\programming\uniProject\uniProject\resources\views\components\modal.blade.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 2, 4, 78
"d:\programming\uniProject\uniProject\resources\views\components\nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\programming\uniProject\uniProject\resources\views\components\primary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\responsive-nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\programming\uniProject\uniProject\resources\views\components\secondary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\programming\uniProject\uniProject\resources\views\components\text-input.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\programming\uniProject\uniProject\resources\views\contact.blade.php", "PHP", 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 54, 596
"d:\programming\uniProject\uniProject\resources\views\contacts\create.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\programming\uniProject\uniProject\resources\views\dashboard.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\programming\uniProject\uniProject\resources\views\index.blade.php", "PHP", 0, 632, 0, 0, 0, 0, 0, 0, 0, 0, 49, 681
"d:\programming\uniProject\uniProject\resources\views\layouts\app.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\programming\uniProject\uniProject\resources\views\layouts\guest.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\programming\uniProject\uniProject\resources\views\layouts\navigation.blade.php", "PHP", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 16, 112
"d:\programming\uniProject\uniProject\resources\views\product.blade.php", "PHP", 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 51, 578
"d:\programming\uniProject\uniProject\resources\views\products\index.blade.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\programming\uniProject\uniProject\resources\views\profile\edit.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\programming\uniProject\uniProject\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"d:\programming\uniProject\uniProject\resources\views\profile\partials\update-password-form.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\programming\uniProject\uniProject\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"d:\programming\uniProject\uniProject\resources\views\welcome.blade.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 23, 141
"d:\programming\uniProject\uniProject\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
